"tool","kd","sv","gsv","tp","gtp","processed_in","operation","status","",""
"dng to eps","","","","","","","convert","","",""
"dng to gif","","","","","","","convert","","",""
"dng to heif","","","","","","","convert","","",""
"dng to icns","","","","","","","convert","","",""
"dng to ico","","","","","","","convert","","",""
"dng to jfif","","","","","","","convert","","",""
"dng to jif","","","","","","","convert","","",""
"dng to jxl","","","","","","","convert","","",""
"dng to ktx","","","","","","","convert","","",""
"dng to ktx2","","","","","","","convert","","",""
"dng to nef","","","","","","","convert","","",""
"dng to orf","","","","","","","convert","","",""
"dng to pam","","","","","","","convert","","",""
"dng to pbm","","","","","","","convert","","",""
"dng to pcx","","","","","","","convert","","",""
"dng to pgm","","","","","","","convert","","",""
"dng to ppm","","","","","","","convert","","",""
"dng to raf","","","","","","","convert","","",""
"dng to rw2","","","","","","","convert","","",""
"dng to svg","","","","","","","convert","","",""
"dng to tga","","","","","","","convert","","",""
"dng to tif","","","","","","","convert","","",""
"dng to webp","","","40","","","","convert","","",""
"dng to xbm","","","","","","","convert","","",""
"dng to xpm","","","","","","","convert","","",""
"doc to azw3","","","30","","","","convert","","",""
"doc to gif","","","","","","","convert","","",""
"docx to docm","","","10","","","","convert","","",""
"docx to dot","","","","","","","convert","","",""
"docx to xls","","","60","","","","convert","","",""
"dot to jpg","","","20","","","","convert","","",""
"dot to xls","","","","","","","convert","","",""
"dst to ai","","","10","","","","convert","","",""
"dst to dot","","","","","","","convert","","",""
"dst to dxf","","","","","","","convert","","",""
"dst to eps","","","","","","","convert","","",""
"dst to psd","","","","","","","convert","","",""
"dv to m4v","","","","","","","convert","","",""
"eps to eps","","","30","","","","convert","","",""
"eps to gif","","","20","","","","convert","","",""
"eps to heic","","","","","","","convert","","",""
"eps to heif","","","","","","","convert","","",""
"eps to icns","","","","","","","convert","","",""
"eps to jfif","","","","","","","convert","","",""
"eps to jif","","","","","","","convert","","",""
"eps to jxl","","","","","","","convert","","",""
"eps to ktx","","","","","","","convert","","",""
"eps to ktx2","","","","","","","convert","","",""
"eps to nef","","","","","","","convert","","",""
"eps to orf","","","","","","","convert","","",""
"eps to pam","","","","","","","convert","","",""
"eps to pbm","","","","","","","convert","","",""
"eps to pcx","","","","","","","convert","","",""
"eps to pgm","","","","","","","convert","","",""
"eps to ppm","","","","","","","convert","","",""
"eps to raf","","","","","","","convert","","",""
"eps to rw2","","","","","","","convert","","",""
"eps to tga","","","","","","","convert","","",""
"eps to tif","","","","","","","convert","","",""
"eps to xbm","","","","","","","convert","","",""
"epub to djvu","","","20","","","","convert","","",""
"exp to eps","","","","","","","convert","","",""
"exp to svg","","","","","","","convert","","",""
"fig to tiff","","","","","","","convert","","",""
"gif to hdr","","","","","","","convert","","",""
"gif to icns","","","","","","","convert","","",""
"gif to jfif","","","10","","","","convert","","",""
"gif to jif","","","","","","","convert","","",""
"gif to ktx","","","","","","","convert","","",""
"gif to ktx2","","","","","","","convert","","",""
"gif to nef","","","","","","","convert","","",""
"gif to orf","","","","","","","convert","","",""
"gif to pam","","","","","","","convert","","",""
"gif to pbm","","","","","","","convert","","",""
"gif to pcx","","","","","","","convert","","",""
"gif to pgm","","","","","","","convert","","",""
"gif to ppm","","","","","","","convert","","",""
"gif to raf","","","","","","","convert","","",""
"gif to rw2","","","","","","","convert","","",""
"gif to xbm","","","","","","","convert","","",""
"heic to heic","","","","","","","convert","","",""
"heic to heif","","","10","","","","convert","","",""
"heic to icns","","","","","","","convert","","",""
"heic to jfif","","","","","","","convert","","",""
"heic to jif","","","","","","","convert","","",""
"heic to jxl","","","","","","","convert","","",""
"heic to ktx","","","","","","","convert","","",""
"heic to ktx2","","","","","","","convert","","",""
"heic to nef","","","","","","","convert","","",""
"heic to orf","","","","","","","convert","","",""
"heic to pam","","","","","","","convert","","",""
"heic to pbm","","","","","","","convert","","",""
"heic to pcx","","","","","","","convert","","",""
"heic to pgm","","","","","","","convert","","",""
"heic to ppm","","","","","","","convert","","",""
"heic to raf","","","","","","","convert","","",""
"heic to rw2","","","","","","","convert","","",""
"heic to tga","","","","","","","convert","","",""
"heic to xbm","","","","","","","convert","","",""
"heif to heif","","","","","","","convert","","",""
"heif to icns","","","","","","","convert","","",""
"heif to ico","","","","","","","convert","","",""
"heif to jfif","","","","","","","convert","","",""
"heif to jif","","","","","","","convert","","",""
"heif to jxl","","","","","","","convert","","",""
"heif to ktx","","","","","","","convert","","",""
"heif to ktx2","","","","","","","convert","","",""
"heif to nef","","","","","","","convert","","",""
"heif to orf","","","","","","","convert","","",""
"heif to pam","","","","","","","convert","","",""
"heif to pbm","","","","","","","convert","","",""
"heif to pcx","","","","","","","convert","","",""
"heif to pgm","","","","","","","convert","","",""
"heif to ppm","","","","","","","convert","","",""
"heif to raf","","","","","","","convert","","",""
"heif to rw2","","","","","","","convert","","",""
"heif to svg","","","","","","","convert","","",""
"heif to tga","","","","","","","convert","","",""
"heif to tif","","","","","","","convert","","",""
"heif to xbm","","","","","","","convert","","",""
"hevc to mjpeg","","","","","","","convert","","",""
"html to lrf","","","","","","","convert","","",""
"html to six","","","","","","","convert","","",""
"html to xps","","","","","","","convert","","",""
"icns to icns","","","","","","","convert","","",""
"icns to jfif","","","","","","","convert","","",""
"icns to jif","","","","","","","convert","","",""
"icns to jpeg","","","","","","","convert","","",""
"icns to jpg","","","20","","","","convert","","",""
"icns to jxl","","","","","","","convert","","",""
"icns to ktx","","","","","","","convert","","",""
"icns to ktx2","","","","","","","convert","","",""
"icns to nef","","","","","","","convert","","",""
"icns to orf","","","","","","","convert","","",""
"icns to pam","","","","","","","convert","","",""
"icns to pbm","","","","","","","convert","","",""
"icns to pcx","","","","","","","convert","","",""
"icns to pdf","","","","","","","convert","","",""
"icns to pgm","","","","","","","convert","","",""
"icns to ppm","","","","","","","convert","","",""
"icns to raf","","","","","","","convert","","",""
"icns to rw2","","","","","","","convert","","",""
"icns to tga","","","","","","","convert","","",""
"icns to tif","","","","","","","convert","","",""
"icns to tiff","","","","","","","convert","","",""
"icns to webp","","","","","","","convert","","",""
"icns to xbm","","","","","","","convert","","",""
"ico to ico","","","30","","","","convert","","",""
"ico to jfif","","","","","","","convert","","",""
"ico to jif","","","","","","","convert","","",""
"ico to jxl","","","","","","","convert","","",""
"ico to ktx","","","","","","","convert","","",""
"ico to ktx2","","","","","","","convert","","",""
"ico to nef","","","","","","","convert","","",""
"ico to orf","","","","","","","convert","","",""
"ico to pam","","","","","","","convert","","",""
"ico to pbm","","","","","","","convert","","",""
"ico to pcx","","","","","","","convert","","",""
"ico to pgm","","","","","","","convert","","",""
"ico to ppm","","","","","","","convert","","",""
"ico to raf","","","","","","","convert","","",""
"ico to rw2","","","","","","","convert","","",""
"ico to tif","","","","","","","convert","","",""
"ico to tiff","","","","","","","convert","","",""
"ico to xbm","","","10","","","","convert","","",""
"jfif to jfif","","","","","","","convert","","",""
"jfif to jif","","","","","","","convert","","",""
"jfif to jxl","","","","","","","convert","","",""
"jfif to ktx","","","","","","","convert","","",""
"jfif to ktx2","","","","","","","convert","","",""
"jfif to nef","","","","","","","convert","","",""
"jfif to orf","","","","","","","convert","","",""
"jfif to pam","","","","","","","convert","","",""
"jfif to pbm","","","","","","","convert","","",""
"jfif to pcx","","","","","","","convert","","",""
"jfif to pgm","","","","","","","convert","","",""
"jfif to ppm","","","","","","","convert","","",""
"jfif to raf","","","","","","","convert","","",""
"jfif to rw2","","","","","","","convert","","",""
"jfif to tga","","","","","","","convert","","",""
"jfif to tif","","","","","","","convert","","",""
"jfif to tiff","","","40","","","","convert","","",""
"jfif to xbm","","","","","","","convert","","",""
"jif to jif","","","","","","","convert","","",""
"jif to jxl","","","","","","","convert","","",""
"jif to ktx","","","","","","","convert","","",""
"jif to ktx2","","","","","","","convert","","",""
"jif to nef","","","","","","","convert","","",""
"jif to orf","","","","","","","convert","","",""
"jif to pam","","","","","","","convert","","",""
"jif to pbm","","","","","","","convert","","",""
"jif to pcx","","","","","","","convert","","",""
"jif to pgm","","","","","","","convert","","",""
"jif to ppm","","","","","","","convert","","",""
"jif to raf","","","","","","","convert","","",""
"jif to rw2","","","","","","","convert","","",""
"jif to svg","","","","","","","convert","","",""
"jif to tga","","","","","","","convert","","",""
"jif to tif","","","","","","","convert","","",""
"jif to tiff","","","","","","","convert","","",""
"jif to webp","","","10","","","","convert","","",""
"jif to xbm","","","","","","","convert","","",""
"jpeg to ktx","","","","","","","convert","","",""
"jpeg to ktx2","","","","","","","convert","","",""
"jpeg to nef","","","10","","","","convert","","",""
"jpeg to orf","","","","","","","convert","","",""
"jpeg to pam","","","","","","","convert","","",""
"jpeg to pbm","","","","","","","convert","","",""
"jpeg to pcx","","","10","","","","convert","","",""
"jpeg to pgm","","","10","","","","convert","","",""
"jpeg to raf","","","","","","","convert","","",""
"jpeg to rw2","","","","","","","convert","","",""
"jpeg to xbm","","","","","","","convert","","",""
"jpg to dot","","","","","","","convert","","",""
"jpg to ktx","","","","","","","convert","","",""
"jpg to ktx2","","","","","","","convert","","",""
"jpg to odt","","","40","","","","convert","","",""
"jpg to orf","","","","","","","convert","","",""
"jpg to pam","","","","","","","convert","","",""
"jpg to pcd","","","","","","","convert","","",""
"jpg to raf","","","10","","","","convert","","",""
"jpg to rw2","","","","","","","convert","","",""
"jpg to sk","","","","","","","convert","","",""
"jpg to wbmp","","","","","","","convert","","",""
"jpg to xbm","","","20","","","","convert","","",""
"jxl to jxl","","","","","","","convert","","",""
"jxl to ktx","","","","","","","convert","","",""
"jxl to ktx2","","","","","","","convert","","",""
"jxl to nef","","","","","","","convert","","",""
"jxl to orf","","","","","","","convert","","",""
"jxl to pam","","","","","","","convert","","",""
"jxl to pbm","","","","","","","convert","","",""
"jxl to pcx","","","","","","","convert","","",""
"jxl to pdf","","","","","","","convert","","",""
"jxl to pgm","","","","","","","convert","","",""
"jxl to ppm","","","","","","","convert","","",""
"jxl to raf","","","","","","","convert","","",""
"jxl to rw2","","","","","","","convert","","",""
"jxl to svg","","","","","","","convert","","",""
"jxl to tga","","","","","","","convert","","",""
"jxl to tif","","","","","","","convert","","",""
"jxl to tiff","","","","","","","convert","","",""
"jxl to webp","","","","","","","convert","","",""
"jxl to xbm","","","","","","","convert","","",""
"ktx to ktx","","","","","","","convert","","",""
"ktx to ktx2","","","","","","","convert","","",""
"ktx to nef","","","","","","","convert","","",""
"ktx to orf","","","","","","","convert","","",""
"ktx to pam","","","","","","","convert","","",""
"ktx to pbm","","","","","","","convert","","",""
"ktx to pcx","","","","","","","convert","","",""
"ktx to pdf","","","","","","","convert","","",""
"ktx to pgm","","","","","","","convert","","",""
"ktx to ppm","","","","","","","convert","","",""
"ktx to raf","","","","","","","convert","","",""
"ktx to rw2","","","","","","","convert","","",""
"ktx to svg","","","","","","","convert","","",""
"ktx to tga","","","","","","","convert","","",""
"ktx to tif","","","","","","","convert","","",""
"ktx to tiff","","","","","","","convert","","",""
"ktx to webp","","","","","","","convert","","",""
"ktx to xbm","","","","","","","convert","","",""
"ktx2 to ktx2","","","","","","","convert","","",""
"ktx2 to nef","","","","","","","convert","","",""
"ktx2 to orf","","","","","","","convert","","",""
"ktx2 to pam","","","","","","","convert","","",""
"ktx2 to pbm","","","","","","","convert","","",""
"ktx2 to pcx","","","","","","","convert","","",""
"ktx2 to pdf","","","","","","","convert","","",""
"ktx2 to pgm","","","","","","","convert","","",""
"ktx2 to ppm","","","","","","","convert","","",""
"ktx2 to raf","","","","","","","convert","","",""
"ktx2 to rw2","","","","","","","convert","","",""
"ktx2 to svg","","","","","","","convert","","",""
"ktx2 to tga","","","","","","","convert","","",""
"ktx2 to tif","","","","","","","convert","","",""
"ktx2 to tiff","","","","","","","convert","","",""
"ktx2 to webp","","","","","","","convert","","",""
"ktx2 to xbm","","","","","","","convert","","",""
"mac to gif","","","","","","","convert","","",""
"mac to jpeg","","","","","","","convert","","",""
"mac to jpg","","","10","","","","convert","","",""
"mac to pdf","","","20","","","","convert","","",""
"mac to svg","","","","","","","convert","","",""
"mkv to av1","","","","","","","convert","","",""
"mobi to fb2","","","30","","","","convert","","",""
"mod to mpeg","","","","","","","convert","","",""
"mov to mpeg2","","","10","","","","convert","","",""
"mp3 to 8svx","","","","","","","convert","","",""
"mp3 to dts","","","30","","","","convert","","",""
"mp3 to fssd","","","","","","","convert","","",""
"mp3 to ra","","","10","","","","convert","","",""
"mp3 to sd2","","","","","","","convert","","",""
"mp4 to amb","","","","","","","convert","","",""
"mp4 to cdda","","","","","","","convert","","",""
"mp4 to w64","","","","","","","convert","","",""
"mp4 to wtv","","","","","","","convert","","",""
"mpeg to mpeg2","","","","","","","convert","","",""
"mpeg2 to avi","","","","","","","convert","","",""
"mpeg2 to gif","","","","","","","convert","","",""
"mpeg2 to mp3","","","10","","","","convert","","",""
"mpeg2 to wav","","","","","","","convert","","",""
"mpeg2 to wmv","","","","","","","convert","","",""
"nef to nef","","","","","","","convert","","",""
"nef to orf","","","","","","","convert","","",""
"nef to pam","","","","","","","convert","","",""
"nef to pbm","","","","","","","convert","","",""
"nef to pcx","","","","","","","convert","","",""
"nef to pgm","","","","","","","convert","","",""
"nef to ppm","","","","","","","convert","","",""
"nef to psd","","","","","","","convert","","",""
"nef to raf","","","","","","","convert","","",""
"nef to rw2","","","","","","","convert","","",""
"nef to svg","","","","","","","convert","","",""
"nef to tga","","","","","","","convert","","",""
"nef to tif","","","","","","","convert","","",""
"nef to webp","","","10","","","","convert","","",""
"nef to xbm","","","","","","","convert","","",""
"orf to orf","","","","","","","convert","","",""
"orf to pam","","","","","","","convert","","",""
"orf to pbm","","","","","","","convert","","",""
"orf to pcx","","","","","","","convert","","",""
"orf to pdf","","","","","","","convert","","",""
"orf to pgm","","","","","","","convert","","",""
"orf to ppm","","","","","","","convert","","",""
"orf to raf","","","","","","","convert","","",""
"orf to rw2","","","","","","","convert","","",""
"orf to svg","","","","","","","convert","","",""
"orf to tga","","","","","","","convert","","",""
"orf to tif","","","","","","","convert","","",""
"orf to tiff","","","","","","","convert","","",""
"orf to webp","","","","","","","convert","","",""
"orf to xbm","","","","","","","convert","","",""
"otf to ps","","","","","","","convert","","",""
"oxps to doc","","","20","","","","convert","","",""
"oxps to docx","","","30","","","","convert","","",""
"pam to pam","","","10","","","","convert","","",""
"pam to pbm","","","","","","","convert","","",""
"pam to pcx","","","","","","","convert","","",""
"pam to pdf","","","","","","","convert","","",""
"pam to pgm","","","","","","","convert","","",""
"pam to png","","","","","","","convert","","",""
"pam to ppm","","","","","","","convert","","",""
"pam to raf","","","","","","","convert","","",""
"pam to rw2","","","","","","","convert","","",""
"pam to svg","","","","","","","convert","","",""
"pam to tga","","","","","","","convert","","",""
"pam to tif","","","","","","","convert","","",""
"pam to tiff","","","","","","","convert","","",""
"pam to webp","","","","","","","convert","","",""
"pam to xbm","","","","","","","convert","","",""
"pbm to pbm","","","","","","","convert","","",""
"pbm to pcx","","","","","","","convert","","",""
"pbm to pdf","","","","","","","convert","","",""
"pbm to pgm","","","","","","","convert","","",""
"pbm to ppm","","","","","","","convert","","",""
"pbm to raf","","","","","","","convert","","",""
"pbm to rw2","","","","","","","convert","","",""
"pbm to svg","","","","","","","convert","","",""
"pbm to tga","","","","","","","convert","","",""
"pbm to tif","","","","","","","convert","","",""
"pbm to tiff","","","","","","","convert","","",""
"pbm to webp","","","","","","","convert","","",""
"pbm to xbm","","","","","","","convert","","",""
"pcs to pdf","","","10","","","","convert","","",""
"pcx to pcx","","","","","","","convert","","",""
"pcx to pdf","","","30","","","","convert","","",""
"pcx to pgm","","","","","","","convert","","",""
"pcx to ppm","","","","","","","convert","","",""
"pcx to raf","","","","","","","convert","","",""
"pcx to rw2","","","","","","","convert","","",""
"pcx to svg","","","","","","","convert","","",""
"pcx to tga","","","","","","","convert","","",""
"pcx to tif","","","","","","","convert","","",""
"pcx to tiff","","","","","","","convert","","",""
"pcx to webp","","","","","","","convert","","",""
"pcx to xbm","","","","","","","convert","","",""
"pdb to xls","","","","","","","convert","","",""
"pdf to dotx","","","20","","","","convert","","",""
"pdf to pgm","","","","","","","convert","","",""
"pdf to raf","","","","","","","convert","","",""
"pdf to rw2","","","","","","","convert","","",""
"pdf to xbm","","","","","","","convert","","",""
"pes to eps","","","","","","","convert","","",""
"pes to jpeg","","","","","","","convert","","",""
"pes to pdf","","","10","","","","convert","","",""
"pes to psd","","","","","","","convert","","",""
"pgm to pgm","","","","","","","convert","","",""
"pgm to ppm","","","","","","","convert","","",""
"pgm to raf","","","","","","","convert","","",""
"pgm to rgb","","","","","","","convert","","",""
"pgm to rw2","","","","","","","convert","","",""
"pgm to svg","","","","","","","convert","","",""
"pgm to tga","","","","","","","convert","","",""
"pgm to tif","","","","","","","convert","","",""
"pgm to tiff","","","","","","","convert","","",""
"pgm to webp","","","","","","","convert","","",""
"pgm to xbm","","","","","","","convert","","",""
"png to dot","","","","","","","convert","","",""
"png to raf","","","","","","","convert","","",""
"png to rw2","","","","","","","convert","","",""
"ppm to raf","","","","","","","convert","","",""
"ppm to rw2","","","","","","","convert","","",""
"ppm to svg","","","","","","","convert","","",""
"ppm to tga","","","","","","","convert","","",""
"ppm to tif","","","","","","","convert","","",""
"ppm to tiff","","","","","","","convert","","",""
"ppm to webp","","","","","","","convert","","",""
"ppm to xbm","","","","","","","convert","","",""
"ppt to pps","","","40","","","","convert","","",""
"pptx to ppm","","","","","","","convert","","",""
"ps to otf","","","","","","","convert","","",""
"psd to fig","","","60","","","","convert","","",""
"psd to rgb","","","","","","","convert","","",""
"raf to raf","","","","","","","convert","","",""
"raf to rw2","","","","","","","convert","","",""
"raf to svg","","","","","","","convert","","",""
"raf to tga","","","","","","","convert","","",""
"raf to tif","","","","","","","convert","","",""
"raf to tiff","","","","","","","convert","","",""
"raf to webp","","","","","","","convert","","",""
"raf to xbm","","","","","","","convert","","",""
"rw2 to rw2","","","","","","","convert","","",""
"rw2 to svg","","","","","","","convert","","",""
"rw2 to tga","","","","","","","convert","","",""
"rw2 to tif","","","","","","","convert","","",""
"rw2 to tiff","","","","","","","convert","","",""
"rw2 to webp","","","","","","","convert","","",""
"rw2 to xbm","","","","","","","convert","","",""
"sfw to jpeg","","","","","","","convert","","",""
"sfw to jpg","","","10","","","","convert","","",""
"sk to dxf","","","","","","","convert","","",""
"sk to html","","","","","","","convert","","",""
"sk to jpg","","","","","","","convert","","",""
"spx to mp3","","","10","","","","convert","","",""
"svg to xbm","","","","","","","convert","","",""
"tar to tgz","","","10","","","","convert","","",""
"tga to tga","","","","","","","convert","","",""
"tga to tif","","","","","","","convert","","",""
"tga to tiff","","","","","","","convert","","",""
"tga to webp","","","","","","","convert","","",""
"tga to xbm","","","","","","","convert","","",""
"tgz to tar","","","","","","","convert","","",""
"tif to tif","","","","","","","convert","","",""
"tif to xbm","","","","","","","convert","","",""
"tiff to docx","0","","10","0","0","","convert","","",""
"tiff to tiff","","","20","","","","convert","","",""
"tiff to xbm","","","","","","","convert","","",""
"ttf to tiff","","","","","","","convert","","",""
"vob to ac3","","","","","","","convert","","",""
"vob to mpeg2","","","","","","","convert","","",""
"wav to 8svx","","","","","","","convert","","",""
"wav to cdda","0","","10","0","0","","convert","","",""
"webm to mjpeg","","","","","","","convert","","",""
"webp to doc","","","10","","","","convert","","",""
"webp to xbm","","","","","","","convert","","",""
"wmv to mpeg2","","","","","","","convert","","",""
"wpg to docx","","","","","","","convert","","",""
"xbm to xbm","","","","","","","convert","","",""
"xls to jpeg","","","70","","","","convert","","",""
"xls to ppt","","","30","","","","convert","","",""
"xls to pptx","","","","","","","convert","","",""
"xls to tiff","","","","","","","convert","","",""
"xlsx to tiff","","","","","","","convert","","",""
"xpm to jpeg","","","","","","","convert","","",""
"xpm to jpg","","","20","","","","convert","","",""
